covariate	quantile	beta_var
FirstCp_vs_preCp	0.05	6.988860061374999
FirstCp_vs_preCp	0.5	8.232969972500001
FirstCp_vs_preCp	0.95	9.414298658749999
FirstWPC_vs_FirstCp	0.05	-4.694003427625002
FirstWPC_vs_FirstCp	0.5	-3.18297002
FirstWPC_vs_FirstCp	0.95	-1.6773961352625002
Interim_vs_FirstWPC	0.05	-3.898547627025
Interim_vs_FirstWPC	0.5	-2.5665244137500003
Interim_vs_FirstWPC	0.95	-1.3202262750000002
PostCp_vs_SecondWPC	0.05	-2.3172112565000003
PostCp_vs_SecondWPC	0.5	-0.9928677187500002
PostCp_vs_SecondWPC	0.95	0.30481200037499995
SecondCp_vs_Interim	0.05	-1.4160360073
SecondCp_vs_Interim	0.5	-0.5109606810124999
SecondCp_vs_Interim	0.95	0.423861115875
SecondWPC_vs_SecondCp	0.05	-1.558300438375
SecondWPC_vs_SecondCp	0.5	-0.5655739581250001
SecondWPC_vs_SecondCp	0.95	0.43282173687499986
